,sim,m_ej,v_ej,Y_e,kappa,negative_sigma_kappa,positive_sigma_kappa,chi_sq_dof,dof,chi_sq_weighted_dof,weighted_dof,sigma_kappa,thresholded_sigma_kappa_01,thresholded_sigma_kappa_02
0,SA1_m002_v15_Ye15_spec_2020-09-17.dat,0.002,0.15,0.15,277.5543928965771,0.36021434994313495,0.35097808455998347,0.24440604860275977,256035,13.258570080349076,4719.702220886859,0.3555962172515592,27.755439289657712,55.510878579315424
1,SA1_m002_v15_Ye20_spec_2020-09-17.dat,0.002,0.15,0.2,97.14013318726474,0.12924660560116763,0.12278427532110925,0.6355021612419842,256035,69.39163579513001,2344.81856479035,0.12601544046113844,9.714013318726474,19.428026637452948
2,SA1_m002_v15_Ye25_spec_2020-09-17.dat,0.002,0.15,0.25,64.98548586882909,0.23145367356127622,0.22929055511677632,12.335889732477051,256035,1474.289525394225,2142.333288849896,0.23037211433902627,6.498548586882909,12.997097173765818
3,SA1_m002_v15_Ye30_spec_2020-09-17.dat,0.002,0.15,0.3,18.871688785112614,0.028349585062176885,0.027719594283016846,10.449262189079702,256035,1144.9179310878067,2336.741151428294,0.028034589672596866,1.8871688785112615,3.774337757022523
4,SA1_m002_v15_Ye35_spec_2020-09-17.dat,0.002,0.15,0.35,17.1637218530781,0.029816544552424773,0.029816544552428326,9.489682780468144,256035,1174.689052153716,2068.369434653776,0.02981654455242655,1.7163721853078102,3.4327443706156204
5,SA1_m002_v15_Ye40_spec_2020-09-17.dat,0.002,0.15,0.4,27.18016090135821,0.09677966145140005,0.0967796614514036,4.281479951983609,256035,929.3813614459841,1179.503662307774,0.09677966145140182,2.718016090135821,5.436032180271642
6,SA1_m002_v20_Ye15_spec_2020-07-01.dat,0.002,0.2,0.15,584.2546040745119,1.4051384214902782,1.4051384214902782,0.07578354180310445,256035,9.227763060593697,2102.7023557223283,1.4051384214902782,58.4254604074512,116.8509208149024
7,SA1_m002_v20_Ye20_spec_2020-07-01.dat,0.002,0.2,0.2,116.74373316525877,0.09751234791036723,0.0897113600775441,1.3787086104672832,256035,77.89863873175781,4531.499713320155,0.09361185399395566,11.674373316525879,23.348746633051757
8,SA1_m002_v20_Ye25_spec_2020-07-01.dat,0.002,0.2,0.25,196.36095143012648,0.7877746122266558,0.7877746122266558,10.482788192116534,256035,1314.4676724202388,2041.861303311298,0.7877746122266558,19.63609514301265,39.2721902860253
9,SA1_m002_v20_Ye30_spec_2020-07-01.dat,0.002,0.2,0.3,26.45779589804401,0.018529413011588503,0.017647060011032778,6.318457894670767,256035,589.8751190881135,2742.5234845689033,0.01808823651131064,2.6457795898044014,5.291559179608803
10,SA1_m002_v20_Ye35_spec_2020-07-01.dat,0.002,0.2,0.35,32.37130082694351,0.03027022302517679,0.029189143631420222,3.808075666105709,256035,495.80901984095516,1966.484299709058,0.029729683328298506,3.2371300826943514,6.474260165388703
11,SA1_m002_v20_Ye40_spec_2020-07-01.dat,0.002,0.2,0.4,58.447338038217794,0.035088871331211635,0.031190107849958792,5.0192884410715495,256035,545.7131953377796,2354.9247608247933,0.033139489590585214,5.8447338038217795,11.689467607643559
12,SA1_m002_v30_Ye15_spec_2020-07-01.dat,0.002,0.3,0.15,691.8815829539934,1.7784080879761177,1.7553118790414146,0.09283253483347466,256035,12.182365340937087,1951.0478787086172,1.7668599835087662,69.18815829539935,138.3763165907987
13,SA1_m002_v30_Ye20_spec_2020-07-01.dat,0.002,0.3,0.2,247.72915368449182,0.4450446395848928,0.436803072185171,0.18822391254746346,256035,29.53543577398257,1631.6640735513208,0.4409238558850319,24.772915368449183,49.54583073689837
14,SA1_m002_v30_Ye25_spec_2020-07-01.dat,0.002,0.3,0.25,64.36226249006876,0.05881590928983371,0.023526363715930643,2.998630058724584,256035,366.7861783516496,2093.1929620027245,0.04117113650288218,6.436226249006876,12.872452498013752
15,SA1_m002_v30_Ye30_spec_2020-07-01.dat,0.002,0.3,0.3,32.88454666496215,0.0241398764286771,0.021945342207885687,6.873961780651392,256035,738.5919122236096,2382.878522471885,0.023042609318281393,3.2884546664962153,6.576909332992431
16,SA1_m002_v30_Ye35_spec_2020-07-01.dat,0.002,0.3,0.35,66.47787460453199,0.04213003844118646,0.037695297552645,8.733197055943371,256035,745.2667419260117,3000.273569755574,0.03991266799691573,6.647787460453199,13.295574920906398
17,SA1_m002_v30_Ye40_spec_2020-07-01.dat,0.002,0.3,0.4,81.11259207902151,0.12165064052244645,0.1135405978209576,2.0940014942136056,256035,286.17278676532663,1873.475387478528,0.11759561917170203,8.111259207902151,16.222518415804302
18,SA1_m002_v40_Ye15_spec_2020-07-01.dat,0.002,0.4,0.15,1012.1726688634197,3.720539124658785,3.8220083735130856,0.12280221583370973,256035,24.612609727163395,1277.4616621123146,3.7712737490859354,101.21726688634197,202.43453377268395
19,SA1_m002_v40_Ye20_spec_2020-07-01.dat,0.002,0.4,0.2,618.4411780775004,1.4838384065042192,1.4632295397470898,0.1624224572676051,256035,28.397337489555877,1464.4272147628603,1.4735339731256545,61.84411780775004,123.68823561550008
20,SA1_m002_v40_Ye25_spec_2020-07-01.dat,0.002,0.4,0.25,368.63047101056145,0.4924347133909919,0.4801238455561361,1.0855833908716883,256035,236.91334075532745,1173.2025836775615,0.486279279473564,36.86304710105615,73.7260942021123
21,SA1_m002_v40_Ye30_spec_2020-07-01.dat,0.002,0.4,0.3,65.69729103965105,0.06147423092588156,0.05927872267851342,3.2121600631174174,256035,514.868964472349,1597.3489538316041,0.06037647680219749,6.569729103965106,13.139458207930211
22,SA1_m002_v40_Ye35_spec_2020-07-01.dat,0.002,0.4,0.35,179.47074398995096,0.19709261557323998,0.18514760856882617,3.6945553980007277,256035,699.6540927944191,1352.0045134718632,0.19112011207103308,17.947074398995095,35.89414879799019
23,SA1_m002_v40_Ye40_spec_2020-07-01.dat,0.002,0.4,0.4,372.26387967317635,0.39787058163830125,0.3854371259620848,1.0542711320174802,256035,317.07816659378057,851.3052544293039,0.391653853800193,37.226387967317635,74.45277593463527
24,SA1_m01_v15_Ye15_spec_2020-09-17.dat,0.01,0.15,0.15,162.4107775079944,0.2325910786779275,0.22177288897196945,0.2077239181071807,256035,8.405595475881892,6327.2844291845995,0.22718198382494847,16.24107775079944,32.48215550159888
25,SA1_m01_v15_Ye20_spec_2020-09-17.dat,0.01,0.15,0.2,42.26581240495218,0.06747348450777935,0.06747348450777935,0.6720081839070702,256035,75.19244569911541,2288.2300710784148,0.06747348450777935,4.226581240495218,8.453162480990436
26,SA1_m01_v15_Ye25_spec_2020-09-17.dat,0.01,0.15,0.25,2.8679461303150453,0.0030483988219325298,0.001524199410966709,14.826305755359781,256035,947.39277970503,4006.8420146240082,0.0022862991164496194,0.28679461303150455,0.5735892260630091
27,SA1_m01_v15_Ye30_spec_2020-09-17.dat,0.01,0.15,0.3,4.675675349949047,0.0032719366316973364,0.0031161301254263307,15.815528440917006,256035,883.5835909721822,4582.847469943193,0.0031940333785618336,0.46756753499490467,0.9351350699898093
28,SA1_m01_v15_Ye35_spec_2020-09-17.dat,0.01,0.15,0.35,3.6181306615061404,0.003228235145445346,0.0019369410872669413,13.102676608616067,256035,827.6772694999341,4053.202774934103,0.0025825881163561437,0.36181306615061404,0.7236261323012281
29,SA1_m01_v15_Ye40_spec_2020-09-17.dat,0.01,0.15,0.4,3.4886258941529706,0.003838448095592195,0.0036058148776776378,6.225569088488223,256035,728.635311020207,2187.6013383695004,0.0037221314866349164,0.3488625894152971,0.6977251788305942
30,SA1_m01_v20_Ye15_spec_2020-07-01.dat,0.01,0.2,0.15,296.2511803648546,0.5939774046178172,0.5840777812075544,0.10525484316356004,256035,6.897170737471755,3907.243244388722,0.5890275929126858,29.62511803648546,59.25023607297092
31,SA1_m01_v20_Ye20_spec_2020-07-01.dat,0.01,0.2,0.2,64.5373363393624,0.05811556626686354,0.05381070950636513,1.3997787568057214,256035,56.385935975695766,6356.059322190414,0.055963137886614334,6.45373363393624,12.90746726787248
32,SA1_m01_v20_Ye25_spec_2020-07-01.dat,0.01,0.2,0.25,4.099346870234405,0.004109277624493757,0.0038353257828607212,12.823570065731504,256035,1151.4098738817772,2851.532574330418,0.003972301703677239,0.40993468702344055,0.8198693740468811
33,SA1_m01_v20_Ye30_spec_2020-07-01.dat,0.01,0.2,0.3,9.336172640739013,0.007793782987510767,0.007170280348509195,8.177993968346811,256035,700.0530529054224,2990.9914355713217,0.007482031668009981,0.9336172640739013,1.8672345281478027
34,SA1_m01_v20_Ye35_spec_2020-07-01.dat,0.01,0.2,0.35,9.814942517822304,0.009172384243079534,0.008517213940002932,7.238782032887407,256035,709.0242356019035,2613.9890073249167,0.008844799091541233,0.9814942517822305,1.962988503564461
35,SA1_m01_v20_Ye40_spec_2020-07-01.dat,0.01,0.2,0.4,23.14055660193972,0.01929698344029873,0.018525104102689482,3.8812995834164994,256035,599.8551544078024,1656.64749487917,0.018911043771494107,2.314055660193972,4.628111320387944
36,SA1_m01_v30_Ye15_spec_2020-07-01.dat,0.01,0.3,0.15,357.2666800327694,0.9513000516774355,0.9513000516773786,0.11496542458626555,256035,11.756776529956069,2503.6771268845823,0.951300051677407,35.72666800327694,71.45333600655388
37,SA1_m01_v30_Ye20_spec_2020-07-01.dat,0.01,0.3,0.2,101.58294316734208,0.1621678314469932,0.158789334958513,0.40951445211159754,256035,42.96407014078875,2440.4120094490654,0.1604785832027531,10.158294316734208,20.316588633468417
38,SA1_m01_v30_Ye25_spec_2020-07-01.dat,0.01,0.3,0.25,19.76248161887942,0.01976149354420187,0.019102777092729895,3.273320533600387,256035,521.4593732252795,1607.1906381445137,0.019432135318465882,1.9762481618879422,3.9524963237758843
39,SA1_m01_v30_Ye30_spec_2020-07-01.dat,0.01,0.3,0.3,14.285683899375906,0.0081151028783637,0.0076377438855210755,12.3154798829182,256035,712.727296182454,4424.12393732113,0.007876423381942388,1.4285683899375907,2.8571367798751814
40,SA1_m01_v30_Ye35_spec_2020-07-01.dat,0.01,0.3,0.35,29.096398441702526,0.022297205063026126,0.021327761364634767,6.051775418738147,256035,563.406621086379,2750.174139503171,0.021812483213830447,2.9096398441702527,5.819279688340505
41,SA1_m01_v30_Ye40_spec_2020-07-01.dat,0.01,0.3,0.4,22.25395846866597,0.029675406755675482,0.028933521586782973,2.6854476000362726,256035,496.5523480032758,1384.6849763979992,0.029304464171229228,2.225395846866597,4.450791693733194
42,SA1_m01_v40_Ye15_spec_2020-07-01.dat,0.01,0.4,0.15,463.97188015450433,1.685343162104175,1.7317287537217112,0.17156388943386913,256035,20.66305806322926,2125.840245755753,1.708535957912943,46.39718801545044,92.79437603090088
43,SA1_m01_v40_Ye20_spec_2020-07-01.dat,0.01,0.4,0.2,274.1959676064113,0.7499064235379365,0.7499064235379365,0.21724475191484166,256035,27.206285112839186,2044.4636166172954,0.7499064235379365,27.419596760641127,54.839193521282255
44,SA1_m01_v40_Ye25_spec_2020-07-01.dat,0.01,0.4,0.25,112.87000234959568,0.14316671693458716,0.14316671693457295,2.367151339357023,256035,376.55239827516976,1609.5332175507233,0.14316671693458005,11.287000234959569,22.574000469919138
45,SA1_m01_v40_Ye30_spec_2020-07-01.dat,0.01,0.4,0.3,28.357076137323638,0.0312089083537046,0.029317459362573572,5.7010997834268515,256035,778.5984785714138,1874.7546048740583,0.030263183858139087,2.835707613732364,5.671415227464728
46,SA1_m01_v40_Ye35_spec_2020-07-01.dat,0.01,0.4,0.35,70.19887278929453,0.09366249976056906,0.09132093726654489,5.589403888467877,256035,902.02926564371,1586.5150711741235,0.09249171851355698,7.019887278929453,14.039774557858905
47,SA1_m01_v40_Ye40_spec_2020-07-01.dat,0.01,0.4,0.4,116.93485736716312,0.12091531140887923,0.11311432357602769,2.986704015924748,256035,739.0992540670218,1034.6387964936973,0.11701481749245346,11.693485736716312,23.386971473432624
48,SA1_m03_v15_Ye15_spec_2020-09-17.dat,0.03,0.15,0.15,117.46465764004284,0.2116727516580994,0.20775288588664864,0.13256044856024116,256035,5.4569186434797645,6219.648241902032,0.20971281877237402,11.746465764004284,23.49293152800857
49,SA1_m03_v15_Ye20_spec_2020-09-17.dat,0.03,0.15,0.2,25.041991081964355,0.04094217857613813,0.039271069246506585,0.8164836704410658,256035,73.96893950011658,2826.1645762955523,0.04010662391132236,2.5041991081964357,5.008398216392871
50,SA1_m03_v15_Ye25_spec_2020-09-17.dat,0.03,0.15,0.25,1.8775421459456387,0.0011271076265078062,0.001064490536146101,17.553157085089204,256035,791.259455809527,5679.834270900225,0.0010957990813269536,0.18775421459456387,0.37550842918912775
51,SA1_m03_v15_Ye30_spec_2020-09-17.dat,0.03,0.15,0.3,2.9449653336576938,0.0017691316436940774,0.0015725614610619942,18.484062865151483,256035,774.2618228730165,6112.36005169175,0.0016708465523780358,0.29449653336576936,0.5889930667315387
52,SA1_m03_v15_Ye35_spec_2020-09-17.dat,0.03,0.15,0.35,2.3051833287586843,0.0020264504031968222,0.0008105801612785513,15.348044856360179,256035,699.5722536989427,5617.199144220601,0.0014185152822376867,0.23051833287586843,0.46103666575173685
53,SA1_m03_v15_Ye40_spec_2020-09-17.dat,0.03,0.15,0.4,2.1726937925514034,0.0019518785006864547,0.0017350031117215892,7.237909602787636,256035,543.5537390054607,3409.3375726574022,0.001843440806204022,0.21726937925514034,0.4345387585102807
54,SA1_m03_v20_Ye15_spec_2020-07-10.dat,0.03,0.2,0.15,201.19850701380955,0.4149871899018933,0.4082938481292899,0.09748872036465009,256035,4.8976738887593445,5096.403943073897,0.4116405190155916,20.119850701380955,40.23970140276191
55,SA1_m03_v20_Ye20_spec_2020-07-10.dat,0.03,0.2,0.2,43.774238495943706,0.0468009432475327,0.04533841377104153,0.9290305710929311,256035,35.58700196221332,6684.02307455811,0.046069678509287115,4.377423849594371,8.754847699188742
56,SA1_m03_v20_Ye25_spec_2020-07-10.dat,0.03,0.2,0.25,2.005350907866681,0.0014025402339838955,0.0010519051754873665,15.97648217783406,256035,902.8650645844355,4530.620105767974,0.001227222704735631,0.2005350907866681,0.4010701815733362
57,SA1_m03_v20_Ye30_spec_2020-07-10.dat,0.03,0.2,0.3,5.25092914079953,0.003860525710481788,0.003509568827710474,11.617686195148028,256035,660.5595286130051,4503.052573051874,0.003685047269096131,0.5250929140799531,1.0501858281599061
58,SA1_m03_v20_Ye35_spec_2020-07-10.dat,0.03,0.2,0.35,5.460626053408606,0.0049125971897074905,0.0039300777517654595,9.881235782123612,256035,611.8064270278647,4135.20043548152,0.004421337470736475,0.5460626053408606,1.0921252106817212
59,SA1_m03_v20_Ye40_spec_2020-07-10.dat,0.03,0.2,0.4,11.692774881683972,0.009740245307368056,0.008961025682779677,5.257564528326912,256035,642.3874092905471,2095.4964473803075,0.009350635495073867,1.1692774881683972,2.3385549763367943
60,SA1_m03_v30_Ye15_spec_2020-07-10.dat,0.03,0.3,0.15,228.6448304536759,0.6547610149015384,0.6471475147282888,0.11417631480698587,256035,9.995245007219582,2924.7039707872577,0.6509542648149136,22.864483045367592,45.728966090735184
61,SA1_m03_v30_Ye20_spec_2020-07-10.dat,0.03,0.3,0.2,63.610680694646135,0.09543033559230452,0.09330966146803377,0.5263330731022688,256035,34.21052818308852,3939.1291373968297,0.09436999853016914,6.361068069464614,12.722136138929228
62,SA1_m03_v30_Ye25_spec_2020-07-10.dat,0.03,0.3,0.25,6.950946818346294,0.007410761404890387,0.007179175110987757,4.802346895321179,256035,815.3838301809352,1507.9632951155218,0.007294968257939072,0.6950946818346294,1.3901893636692588
63,SA1_m03_v30_Ye30_spec_2020-07-10.dat,0.03,0.3,0.3,8.619216675291295,0.006047865752748294,0.005759872145475242,9.724735858256595,256035,652.964537488034,3813.182190639803,0.005903868949111768,0.8619216675291295,1.723843335058259
64,SA1_m03_v30_Ye35_spec_2020-07-10.dat,0.03,0.3,0.35,15.714601798640647,0.018356647908298385,0.017832172253777756,4.343227284512387,256035,566.1833562908052,1964.060203173775,0.01809441008103807,1.5714601798640648,3.1429203597281297
65,SA1_m03_v30_Ye40_spec_2020-07-10.dat,0.03,0.3,0.4,7.075657327132042,0.006614198846868646,0.0061417560720933295,4.815706064288869,256035,915.2738988857999,1347.1260391792757,0.006377977459480988,0.7075657327132042,1.4151314654264084
66,SA1_m03_v40_Ye15_spec_2020-07-10.dat,0.03,0.4,0.15,305.9748025325052,1.2339955372530085,1.2645904679287128,0.1556870571368414,256035,13.334052792984807,2989.4388670039375,1.2492930025908606,30.59748025325052,61.19496050650104
67,SA1_m03_v40_Ye20_spec_2020-07-10.dat,0.03,0.4,0.2,170.437942714949,0.5513307802961265,0.5570146027734211,0.19977473964225198,256035,20.42950171106086,2503.6991204054148,0.5541726915347738,17.0437942714949,34.0875885429898
68,SA1_m03_v40_Ye25_spec_2020-07-10.dat,0.03,0.4,0.25,56.65038684086687,0.07190696283767295,0.06812238584622321,2.8741853615191224,256035,315.82407978723865,2330.069478971639,0.07001467434194808,5.665038684086688,11.330077368173376
69,SA1_m03_v40_Ye30_spec_2020-07-10.dat,0.03,0.4,0.3,15.310673042344302,0.018930805947190876,0.017907519139235717,6.549708530398257,256035,811.6697378825759,2066.055373648934,0.018419162543213297,1.5310673042344303,3.0621346084688605
70,SA1_m03_v40_Ye35_spec_2020-07-10.dat,0.03,0.4,0.35,36.19664935301323,0.0470172467407437,0.04460610588225222,7.798101025097921,256035,932.2234539634893,2141.747010839681,0.04581167631149796,3.619664935301323,7.239329870602646
71,SA1_m03_v40_Ye40_spec_2020-07-10.dat,0.03,0.4,0.4,48.73932611663538,0.04706369624182116,0.043817924087207416,4.447956526058089,256035,908.3776745875059,1253.6994039031467,0.04544081016451429,4.873932611663538,9.747865223327077
72,SA1_m05_v15_Ye15_spec_2020-09-17.dat,0.05,0.15,0.15,100.85232100942517,0.20843160394620952,0.20170800381890786,0.10532175228697807,256035,4.484227895147713,6013.5335396258115,0.2050698038825587,10.085232100942518,20.170464201885036
73,SA1_m05_v15_Ye20_spec_2020-09-17.dat,0.05,0.15,0.2,20.18086323918832,0.032251217242297514,0.03090741652386697,0.913429617355454,256035,71.61768847896175,3265.5333765527043,0.03157931688308224,2.018086323918832,4.036172647837664
74,SA1_m05_v15_Ye25_spec_2020-09-17.dat,0.05,0.15,0.25,1.6260564627154865,0.0009220313158939675,0.0008135570434359973,19.02012788100576,256035,757.4693972562748,6429.062955748301,0.0008677941796649824,0.16260564627154867,0.32521129254309733
75,SA1_m05_v15_Ye30_spec_2020-09-17.dat,0.05,0.15,0.3,2.4874372613293136,0.001494879077973632,0.0012457325649783968,19.37293068101377,256035,740.0754499581615,6702.219763125195,0.0013703058214760144,0.2487437261329314,0.4974874522658628
