radius,grav_mass,bary_mass,rho_c
12.010702820092005,0.9981760123420867,1.0753207787141894,663000000000000.0
12.010518938936775,1.0005363006484658,1.0780646456077558,664000000000000.0
12.010113379509013,1.0028957700290804,1.0808081974663342,664999999999999.9
12.009525944202867,1.0052530115965628,1.0835501579878275,666000000000000.1
12.00909490531252,1.0076147399762778,1.0862979517030218,667000000000000.0
12.008863413175993,1.0099684094748869,1.089039013501087,668000000000000.0
12.008406050459053,1.0123306827279015,1.0917892461904275,669000000000000.0
12.008033669133065,1.014679130899606,1.0945258676739351,670000000000000.0
12.006931536851717,1.0170319248130857,1.0972700891512273,671000000000000.0
12.006890709741954,1.0193797358707255,1.1000070353868154,672000000000000.0
12.006532229027714,1.0217352538738635,1.1027536017825506,673000000000000.0
12.00582166299834,1.0240778655472342,1.1054881211626308,674000000000000.0
12.005935567308093,1.0264310965467291,1.1082347372368202,674999999999999.9
12.004401101192524,1.0287712189592453,1.1109689882167693,676000000000000.0
12.004712554700227,1.0311156846487473,1.113708821299062,677000000000000.0
12.003642384272347,1.033463860895795,1.1164513230931234,678000000000000.0
12.003804165958,1.0358040212235644,1.1191874180133643,679000000000000.0
12.00330721617747,1.038143554334532,1.1219233398441222,680000000000000.0
12.00300516744708,1.0404834009850146,1.1246612243648944,681000000000000.0
12.0029960432818,1.0428269066135951,1.1274031685569552,682000000000000.0
12.001949154238238,1.0451580485003087,1.13013370555384,683000000000000.0
12.001546959757786,1.0474930967532994,1.1328695521154446,684000000000000.0
12.001350342705472,1.0498255863022403,1.135604341760803,684999999999999.9
12.000715613806785,1.0521578460846073,1.1383392259627767,686000000000000.0
12.000374408487591,1.0544901172864425,1.1410749265877398,687000000000000.0
11.99981193166472,1.0568214018029374,1.143810212399342,688000000000000.0
11.999532413639136,1.0591472477797843,1.146540745099414,689000000000000.0
11.999246255822252,1.0614760883464325,1.1492755141682942,690000000000000.0
11.998449426747332,1.06380073614919,1.152006152472357,691000000000000.0
11.998149550320273,1.066126346380838,1.1547394762236485,692000000000000.0
11.997777803099028,1.0684485069900862,1.1574698816019635,693000000000000.0
11.997320839731787,1.070769255454307,1.1601998707469656,694000000000000.0
11.996746015344858,1.0730889651939002,1.1629294036005244,695000000000000.1
11.996444170844052,1.0754069665586197,1.1656581741914125,696000000000000.0
11.996008813821016,1.077684916325004,1.1683409588479283,697000000000000.0
11.995284203642736,1.0799427149670768,1.171000758960377,698000000000000.0
11.995353654172186,1.0821989269518368,1.1736597397767907,699000000000000.0
11.99436922212515,1.0844487790438777,1.1763128855156115,700000000000000.0
11.994421620452494,1.0866975390697629,1.178965958706046,701000000000000.0
11.993983489522838,1.088949359341944,1.1816223493631208,702000000000000.0
11.993342334906005,1.091191212553444,1.1842693687345522,703000000000000.0
11.99274329076304,1.0934282234197024,1.1869122291986427,704000000000000.0
11.992491516131857,1.0956779129341827,1.18956827478335,705000000000000.1
11.991376517767684,1.0979089335556016,1.1922066173490116,706000000000000.0
11.991325367156543,1.1001463575015722,1.1948514081347088,707000000000000.0
11.991007548164516,1.102381427314199,1.1974943853977755,708000000000000.0
11.990761073340604,1.1046194516370833,1.2001407899758092,709000000000000.0
11.989801791205153,1.1068452699435252,1.2027761828872874,710000000000000.0
11.990034452267034,1.10907190317297,1.2054136795839918,711000000000000.0
11.989436150718742,1.1112986864624754,1.2080511482899692,712000000000000.0
11.988282995870323,1.113516903786572,1.2106806548513172,713000000000000.0
11.988526933329933,1.115742086841176,1.2133171763846955,713999999999999.9
11.988145799624847,1.1179555509426793,1.2159445813233525,715000000000000.1
11.987711840958696,1.1201745071539606,1.218575280280493,716000000000000.0
11.98712813898976,1.1223841309902332,1.2212003222319696,717000000000000.0
11.986695418611472,1.1245980606771253,1.2238270203852355,718000000000000.0
11.98590728546797,1.1268011945577874,1.2264428364898956,719000000000000.0
11.985256330397036,1.1290139930195948,1.2290738340221257,720000000000000.0
11.984986095384276,1.1312116206464429,1.2316837262331437,721000000000000.0
11.984658147397669,1.1334189851073626,1.2343095324535844,722000000000000.0
11.984196140490848,1.1356126077808315,1.2369176994031057,723000000000000.0
11.983923528302794,1.137811735558231,1.2395317073762335,724000000000000.0
11.983308718232673,1.1400036529372493,1.2421438245156735,725000000000000.1
11.982778999148207,1.142190126180644,1.244746238370391,726000000000000.0
11.982280043814995,1.144383780424747,1.2473574928626878,727000000000000.0
11.981691341073857,1.1465708959660164,1.2499640042684104,728000000000000.0
11.980971482688794,1.1487515147622496,1.2525655733703671,729000000000000.0
11.980765880681204,1.1509349773670168,1.2551678051578676,730000000000000.0
11.98020528352018,1.1531138710944755,1.2577671649609623,731000000000000.0
11.9798564960021,1.1552916603353744,1.2603695874570011,732000000000000.0
11.979390359885874,1.1574708201495667,1.2629674596182117,733000000000000.0
11.97871168162076,1.1596418182777295,1.2655618598283802,734000000000000.0
11.9781187556562,1.1618112470373867,1.2681560077376488,735000000000000.1
11.977928026828033,1.163979438954859,1.2707455464117683,736000000000000.0
11.977594370709063,1.1661455571646382,1.273335073960434,737000000000000.0
11.976685307223727,1.1683029037427457,1.2759179403187786,738000000000000.0
11.975903119237753,1.170465385489187,1.2785051791895974,739000000000000.0
11.975580237826204,1.1726207263683817,1.2810854792084172,740000000000000.0
11.975282099191633,1.1747831957216073,1.2836723751217365,741000000000000.0
11.974545917221825,1.1769319920532066,1.2862477080679433,742000000000000.0
11.974141653597998,1.1790835302270155,1.288825881977825,743000000000000.0
11.972783978877823,1.1812283141198154,1.2913999153157705,744000000000000.0
11.972956718216649,1.1833784695160388,1.293975537140055,745000000000000.0
11.972465696168902,1.1855214126017442,1.296548141233144,746000000000000.0
11.971765252196867,1.1876596143754077,1.2991157963822304,747000000000000.0
11.971275371649881,1.1897992841727607,1.3016848916478925,748000000000000.0
11.970713743371705,1.1919347347734004,1.304249226759313,749000000000000.0
11.97040892274741,1.19407295227657,1.306816075350998,750000000000000.0
11.969780514988624,1.1962040287266014,1.3093760455685763,751000000000000.0
11.968509913189616,1.198328582580363,1.311935249310047,752000000000000.0
11.968499680945179,1.2004559128535863,1.3144948606712776,753000000000000.0
11.968024678154515,1.2025798527088212,1.3170497355188588,754000000000000.0
11.967410465888305,1.2047036741767725,1.319606931971164,755000000000000.0
11.967034661265172,1.2068221699174666,1.3221538177737095,756000000000000.0
11.966230799180295,1.2089369947516222,1.324705580279427,757000000000000.0
11.965783420624895,1.211053357310448,1.3272568633930046,758000000000000.0
11.965080686151184,1.2131642827465283,1.3298017309606425,759000000000000.0
11.964793522768476,1.215271949326662,1.3323433667657445,760000000000000.0
11.963967624267967,1.2173770849078196,1.3348832799820567,761000000000000.0
11.963318163888266,1.2194781033456428,1.3374195490862142,762000000000000.0
11.962825302086074,1.221579769390034,1.339957407963313,763000000000000.0
11.962337670663311,1.2236806210950155,1.3424949993041997,764000000000000.1
11.96146533617983,1.225779227085013,1.3450312198121366,765000000000000.0
11.961070469023756,1.2278712598056636,1.3475580092056698,766000000000000.0
11.96029691110188,1.229961548400858,1.3500850814695786,767000000000000.0
11.959588900071795,1.2320533270918952,1.352614859788498,768000000000000.0
11.958716568162453,1.23413788338417,1.3551371332320534,769000000000000.0
11.958520646872811,1.2362200482662578,1.3576576900328718,770000000000000.0
11.9580806353568,1.2383005265038445,1.360178174139338,771000000000000.0
11.95734380217249,1.240377966622372,1.3626949677027704,772000000000000.0
11.956643174605698,1.24245374376216,1.3652113116589144,773000000000000.0
11.95590867347445,1.244536918261874,1.3677377192169928,774000000000000.1
11.955496552756536,1.2465987802687102,1.3702432055083842,775000000000000.0
11.955085119689288,1.2486692933001855,1.372753003278177,776000000000000.0
11.954247148776794,1.2507367280309385,1.3752602412769013,777000000000000.0
11.953112268830766,1.2527965023046073,1.3777614865815135,778000000000000.0
11.952804478383634,1.2548592597195327,1.3802677067906326,779000000000000.0
11.952156555796542,1.2569171175380836,1.3827696902946789,780000000000000.0
11.950657078587362,1.258971852374604,1.3852688488164526,781000000000000.0
11.951046335761447,1.2610229717650383,1.387762495812554,782000000000000.0
11.950274634117322,1.2630729346832787,1.3902591520487997,783000000000000.0
11.949666085317585,1.2651186320735217,1.3927507518654545,784000000000000.1
11.948931997576981,1.2671621136498137,1.3952347261636506,785000000000000.0
11.948277640967223,1.2692033800005638,1.3977208839450084,786000000000000.0
11.947335853685384,1.2712439763867287,1.4002073573469302,787000000000000.0
11.94672598817775,1.2732824089654973,1.4026929374726118,788000000000000.0
11.946253235217881,1.2753189217272742,1.4051773228312183,789000000000000.0
11.945618415706804,1.2773510624605904,1.407656832975142,790000000000000.0
11.944550352265436,1.2793815446392574,1.4101353046056528,791000000000000.0
11.944191463706224,1.2814092480207673,1.412611015657302,792000000000000.0
11.9433236158275,1.2834328479933506,1.4150823342172931,793000000000000.0
11.9428963644542,1.2854545107674022,1.4175522673800458,794000000000000.1
11.94215083065616,1.287472236461528,1.420018680951173,795000000000000.0
11.941494006865561,1.2894949870823438,1.4224903223562966,796000000000000.0
11.94063723866478,1.2915019851120455,1.4249461417860958,797000000000000.0
11.939847265631116,1.2935135954609909,1.4274075354096658,798000000000000.0
11.938878104108875,1.2955226030165523,1.4298659111957974,799000000000000.0
11.938665334458035,1.2975395965515226,1.4323311755776662,800000000000000.0
11.937694753784188,1.2995406352944463,1.43478419571543,801000000000000.0
11.937089256280675,1.3015334184341691,1.437226990552566,802000000000000.0
11.936340174929285,1.3035357960370797,1.4396805224199176,803000000000000.0
11.935632211681517,1.3055276472708492,1.44212325987847,804000000000000.0
11.935033052282705,1.3075256934682882,1.4445788389552614,805000000000000.0
11.934314113378628,1.3095169180239172,1.4470219224726952,806000000000000.0
11.933413611434878,1.3115039346025772,1.449459339257689,807000000000000.0
11.9324806990305,1.3134923756723844,1.4519033579916942,808000000000000.0
11.93183223379102,1.3154682836673837,1.4543311142898363,809000000000000.0
11.931162673608227,1.3174501320354408,1.4567636621347324,810000000000000.0
11.930474145822075,1.3194279008299212,1.4591953455766218,811000000000000.0
11.929683450880086,1.3214022897583944,1.4616243503193405,812000000000000.0
11.928597716151351,1.3233747266128169,1.4640519008054569,813000000000000.0
11.92788114820501,1.3253448102672445,1.466479634836262,814000000000000.0
11.92733776815092,1.327312147187951,1.4689030784780073,815000000000000.0
11.926587338660722,1.3292768516784286,1.4713279911810953,816000000000000.0
11.92590315554742,1.33124056222853,1.4737418239362683,817000000000000.0
11.925181694346184,1.33319939477724,1.4761578082657036,818000000000000.0
11.924259495439253,1.3351561209436598,1.478569721024643,819000000000000.0
11.924027801224964,1.3371109571620496,1.4809829563372323,820000000000000.0
11.921179947906394,1.3390581309388565,1.4833883611714764,821000000000000.0
11.92192940959989,1.3410089007913957,1.4857953712237588,822000000000000.0
11.921168315058287,1.3429597234317807,1.488212079256292,823000000000000.1
11.920225257936911,1.3448969787441063,1.4906029801838805,824000000000000.0
11.919269099623635,1.3468396486985472,1.4930061517483144,825000000000000.0
11.91875797586676,1.3487826801367575,1.4954078477537127,826000000000000.0
11.917783060839234,1.3507098229240602,1.497795011504334,827000000000000.0
11.9170099692015,1.3526471353093197,1.5001881807037725,828000000000000.0
11.91598564748565,1.3545697999030135,1.5025684771801868,829000000000000.0
11.915159203453694,1.356496714177308,1.5049563439860816,830000000000000.0
11.914161531644476,1.3584226627602682,1.507343898400641,831000000000000.0
11.913855479488495,1.3603465011108962,1.5097266901283553,832000000000000.0
11.91285494151515,1.3622133521472557,1.5120443212859598,833000000000000.1
11.911889374964625,1.3640824269185947,1.514365922888685,834000000000000.0
11.911321131179587,1.3659532471643916,1.5166866636777083,835000000000000.0
11.910352374958752,1.367816807820916,1.5189967850404638,836000000000000.0
11.909706207196193,1.3696777007727117,1.5213092634942962,837000000000000.0
11.908563887779716,1.3715353157469217,1.523619133660443,838000000000000.0
11.908148121979925,1.3733938295409425,1.5259285490850745,839000000000000.0
11.907294690357986,1.3752449909549649,1.5282305178030444,840000000000000.0
11.906430616621929,1.3770901354878649,1.5305279414220805,841000000000000.0
11.90569290289003,1.37893510906904,1.5328237808741043,842000000000000.0
11.904659287480428,1.3807769648047736,1.5351166232531903,843000000000000.1
11.903441749661352,1.382616845364449,1.537408462175175,844000000000000.0
11.902306301842605,1.3844556730991553,1.5397011047074187,845000000000000.0
11.902178888321753,1.386285094460386,1.5419793214765554,846000000000000.0
11.901243348360481,1.3881153838431568,1.5442613113707302,847000000000000.0
11.900429908662293,1.3899412912416558,1.5465380138716407,848000000000000.0
11.899652825407404,1.391766324877974,1.5488153171566854,849000000000000.0
11.898298034103613,1.3935803089370835,1.5510762631348658,850000000000000.0
11.897730965576383,1.3953971349973926,1.5533418962102747,851000000000000.0
11.896983797587822,1.3972166340669605,1.5556167182318956,852000000000000.0
11.895985933352973,1.399014591594652,1.5578630846517256,853000000000000.1
11.894771264391508,1.4008245479049335,1.5601257165261686,854000000000000.0
11.894350554567563,1.4026369478292466,1.5623931624305232,855000000000000.0
11.893293450483876,1.4044327240959391,1.5646337921445297,856000000000000.0
11.892482727630082,1.40623312614084,1.566887160515837,857000000000000.0
11.891632411042075,1.4080269798097378,1.5691324184994588,858000000000000.0
11.890171586873238,1.4098172528004291,1.571374272383835,859000000000000.0
11.889704615090649,1.4116062065941273,1.5736142503464208,860000000000000.0
11.888907632168813,1.4133947641415814,1.5758554912929448,861000000000000.0
11.887949717223792,1.415174002080234,1.5780850932967552,862000000000000.0
11.886967509218044,1.4169598686454763,1.5803282791113542,863000000000000.1
11.886094292226815,1.4187334421717523,1.5825534084337387,864000000000000.0
11.885260850038007,1.4205082404319085,1.58477973329474,865000000000000.0
11.883963075785944,1.4222765378390012,1.58699852284189,866000000000000.0
11.883459840264413,1.424043215942214,1.589211773046926,867000000000000.0
11.882282530953304,1.425809521373054,1.5914361231511518,868000000000000.0
11.881541941001315,1.427570372070328,1.5936480278834135,869000000000000.0
11.880639759307225,1.429327914496754,1.5958573258100737,870000000000000.0
11.879252730135171,1.4310746331248951,1.5980452598396988,871000000000000.0
11.878473216483373,1.432826832290033,1.6002491070847704,872000000000000.0
11.877911583817134,1.4345750404477322,1.602452495945752,873000000000000.0
11.877014123312168,1.436322782444175,1.6046500784109972,874000000000000.0
11.875389246009279,1.4380658744580987,1.6068431711815905,875000000000000.0
11.874472704528506,1.4398048593390256,1.6090334828702886,876000000000000.0
11.873881520634987,1.4415386894178095,1.6112216092415046,877000000000000.0
11.872895785218825,1.4432687943802258,1.6134002071904887,878000000000000.0
11.871755274196616,1.4450114705771475,1.61560092091261,879000000000000.0
11.871055336946672,1.4467397065391627,1.6177811387512468,880000000000000.0
11.869858240047602,1.448455934987164,1.619943051228775,881000000000000.0
11.869109797188516,1.4501758054530072,1.6221153739602423,882000000000000.0
11.868242563353887,1.4518920720605533,1.6242799535385943,883000000000000.0
11.867060677762876,1.4536096744280262,1.626448536635792,884000000000000.0
11.865584478099516,1.455320288553533,1.6286085343562706,885000000000000.0
11.86512888859233,1.457033391532188,1.6307753281055584,886000000000000.0
11.863959574664975,1.4587319476528164,1.632924992095335,887000000000000.0
11.863000143984387,1.460441063372564,1.6350842014857798,888000000000000.0
11.861966246692752,1.462132058132254,1.6372243200740393,889000000000000.0
11.861102345587234,1.46383235402365,1.6393739823669558,890000000000000.0
11.860120536163402,1.4655308565513223,1.6415301400380788,891000000000000.0
11.858513907924044,1.4672194764795152,1.6436678249773355,892000000000000.1
11.857862988032846,1.4689084260010503,1.6458054177255417,893000000000000.0
11.857180792095113,1.4705932005694795,1.6479396690716657,894000000000000.0
11.856007844738414,1.472267995291536,1.650062262402084,895000000000000.0
11.854874129226667,1.4739552453444014,1.6522086744020072,896000000000000.0
11.854128701138398,1.4756232289379707,1.654319452778018,897000000000000.0
11.852718872897242,1.4772958253481734,1.6564422133394814,898000000000000.0
11.851472968907899,1.4789696456567305,1.6585671037634675,899000000000000.0
11.851006341553404,1.480640709335959,1.660691196128251,900000000000000.0
11.849653086769091,1.4822999486356587,1.6627976251611811,901000000000000.0
11.848623746295777,1.4839632131784848,1.6649155149247248,902000000000000.0
11.847461901286707,1.485615827610539,1.6670124502530794,903000000000000.0
11.846508248890627,1.4872695793875157,1.669116928311244,904000000000000.0
11.845417431448247,1.4889192053250808,1.6712149985438325,905000000000000.0
11.844188201911585,1.4905694864900816,1.6733147478945458,906000000000000.0
11.843195314286113,1.4922216364063623,1.675423233660466,907000000000000.0
11.842202824213462,1.4938581161275155,1.6775028083962873,908000000000000.0
11.840894442372774,1.4955014266771078,1.6795972048439491,909000000000000.0
11.839817271294613,1.4971352057314096,1.6816786380443258,910000000000000.0
11.839024813756838,1.4987706334753392,1.6837637858303365,911000000000000.0
11.838077024340976,1.5004064065953695,1.685856019099662,912000000000000.0
11.836806313668394,1.50203237328359,1.6879284651701567,913000000000000.0
11.835667317667756,1.5036517541174843,1.6899905399167332,914000000000000.0
11.834849542200313,1.5052769440092226,1.6920668095695304,915000000000000.0
11.833527284567321,1.5068917435363527,1.69412858274381,916000000000000.0
11.831971345893251,1.5085076453501107,1.6961930121901023,917000000000000.0
11.831152671895747,1.510127031508395,1.6982652798624187,918000000000000.0
11.830257825031344,1.5117362484751822,1.7003211780221004,919000000000000.0
11.829184317667872,1.5133431272028257,1.702375419192338,920000000000000.0
11.827975625973881,1.514949307442764,1.704431146088134,921000000000000.0
11.826951424806962,1.5165556237600186,1.7064934523269808,922000000000000.0
11.825691616287102,1.518144576586406,1.7085231038380084,923000000000000.0
11.824440776136795,1.5197425299007408,1.7105677941866066,924000000000000.0
11.823108570197586,1.5213363800806046,1.712606977780759,925000000000000.0
11.822586516324472,1.5229218078985505,1.7146439355722287,926000000000000.0
11.821263358063073,1.5245083070502414,1.7166753276443123,927000000000000.0
11.82012016243596,1.5260902195002648,1.7187006763471675,928000000000000.0
11.818967201086119,1.5276700355980737,1.7207280111327288,929000000000000.0
11.818031128201625,1.5292500438386425,1.7227556719199255,930000000000000.0
11.816684434197539,1.5308251595002818,1.7247797953972848,931000000000000.0
11.81540210600792,1.5323997163666925,1.7268030636031608,932000000000000.0
11.814509621580713,1.5339731815284443,1.7288277309222766,933000000000000.0
11.813353737060066,1.5355389446854173,1.7308401907358415,934000000000000.0
11.811857717194385,1.537102197970902,1.7328445051133574,935000000000000.0
11.81090803764317,1.5386617120360857,1.7348498990864427,936000000000000.0
11.809561961546983,1.5402150073346093,1.7368497615535758,937000000000000.0
11.808317877391362,1.541767727114391,1.7388468991367485,938000000000000.0
11.807502229252973,1.5433210211422672,1.7408439021080566,939000000000000.0
11.80618986082706,1.544869652380233,1.7428390005094745,940000000000000.0
11.805144863600512,1.546419835234795,1.7448370104001756,941000000000000.0
11.803900407257693,1.5479669857139036,1.7468345298176986,942000000000000.0
11.80272186243968,1.549504604867483,1.7488157248200549,943000000000000.0
11.801496913568847,1.5510425131375865,1.7507995308589177,944000000000000.0
11.800189016298908,1.5525762897647375,1.7527785511267902,945000000000000.0
11.799161850214345,1.5541098290422868,1.7547583067181547,946000000000000.0
11.797919544442136,1.555642093609372,1.756734477199012,947000000000000.0
11.796635635671413,1.557168477655468,1.75870554721825,948000000000000.0
11.795599449166115,1.5586900390701277,1.7606692869662182,949000000000000.0
11.79431872412504,1.560215189917729,1.7626489572202313,950000000000000.0
11.793358850388925,1.5617326500805426,1.764605191635348,951000000000000.0
11.791770642630338,1.5632418343912815,1.7665534474654938,952000000000000.0
11.790790606893209,1.5647532408560365,1.768508179700768,953000000000000.0
11.789452254329081,1.5662659223030226,1.770465469694855,954000000000000.0
11.78827766872894,1.5677708637385748,1.7724182113448943,955000000000000.0
11.786983124736075,1.5692742893946414,1.7743650911346975,956000000000000.0
11.785854733081695,1.5707754742730924,1.7763101349980592,957000000000000.0
11.784500398787054,1.5722736826573769,1.7782519907524648,958000000000000.0
11.783330566430251,1.5737680471999282,1.780184575838824,959000000000000.0
11.782260760575445,1.5752610857930016,1.7821204782412785,960000000000000.0
11.780799118724635,1.5767494066642325,1.7840506696838776,961000000000000.0
11.77960837236258,1.5782378317829384,1.7859838977560143,962000000000000.0
11.778461376924719,1.5797178469821973,1.7879041622406888,963000000000000.0
11.777029028231173,1.581197879848886,1.7898268478555732,964000000000000.0
11.775797081090136,1.582678914126574,1.7917516253650776,965000000000000.0
11.774389598239484,1.5841546072411,1.7936676668183842,966000000000000.0
11.773613562337381,1.5856366861511908,1.7955977293394598,967000000000000.0
11.772309708944825,1.5870988525969023,1.797494610126572,968000000000000.0
11.770650697447493,1.5885675732605813,1.799411472734198,969000000000000.0
11.769591836801649,1.5900349229069433,1.8013212649805157,970000000000000.0
11.768084331429966,1.5914971891000955,1.803224509323898,971000000000000.0
11.766717479847467,1.5929548879052646,1.8051229704774607,972000000000000.0
11.765571181566296,1.594403739119364,1.8070058691977964,973000000000000.0
11.764135259656944,1.5958568276723344,1.808901068941184,974000000000000.0
11.763169378628364,1.5973102400439003,1.8107957041682603,975000000000000.0
11.761892420140061,1.5987583904811535,1.8126796361721431,976000000000000.0
11.760784101578945,1.6002004335267372,1.8145650681742664,977000000000000.0
11.759219716760686,1.601638141552591,1.8164425918900255,978000000000000.0
11.758130278342323,1.603083082490192,1.8183262243127296,979000000000000.0
